SN_Number,影片名稱,年份,集數,觀看人數,網址
87252,劇場版 無敵鐵金剛 ／ INFINITY,2018/01,第1集,8828,https://ani.gamer.com.tw/animeRef.php?sn=87252
90115,博多豚骨拉麵團,2018/01,第12集,30.1萬,https://ani.gamer.com.tw/animeRef.php?sn=90115
90863,爆肝工程師的異世界狂想曲,2018/01,第12集,2.9萬,https://ani.gamer.com.tw/animeRef.php?sn=90863
92343,廢柴王子,2018/01,第12集,148.6萬,https://ani.gamer.com.tw/animeRef.php?sn=92343
87902,OVERLORD 第二季,2018/01,第13集,489.1萬,https://ani.gamer.com.tw/animeRef.php?sn=87902
112589,飆速宅男 第四季,2018/01,第25集,6.1萬,https://ani.gamer.com.tw/animeRef.php?sn=112589
90129,龍王的工作！,2018/01,第12集,116.3萬,https://ani.gamer.com.tw/animeRef.php?sn=90129
90583,三顆星彩色冒險,2018/01,第12集,8.6萬,https://ani.gamer.com.tw/animeRef.php?sn=90583
88120,學園奶爸,2018/01,第12集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=88120
87360,刀劍亂舞 - 花丸 - 續篇,2018/01,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=87360
86733,庫洛魔法使 透明牌篇,2018/01,第22集,179.1萬,https://ani.gamer.com.tw/animeRef.php?sn=86733
112686,慢活開始,2018/01,第12集,11.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112686
85205,七大罪 戒律的復活,2018/01,第24集,167.6萬,https://ani.gamer.com.tw/animeRef.php?sn=85205
92024,伊藤潤二驚選集,2018/01,第14集,8100,https://ani.gamer.com.tw/animeRef.php?sn=92024
